location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Intercom,Indoor Games,ATM,Maintenance Staff,Staff Quarter,Multipurpose Room,Car Parking,Hospital,School,Shopping Mall,Vaastu Compliant,Cafeteria,Rain Water Harvesting,Golf Course,city,property_type
Sector 78,1125.0,8000000.0,INR,,1.0,0.0,"It’s a 2 bhk builder floor situated in Sector 78. It has an area of 1125 sqft with a carpet area of 890 sqft . The property is available at a price of Rs. 80.00 lac . It is an unfurnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
New chandigarh mohali,1560.0,9500000.0,INR,,0.0,0.0,It’s a 3 bhk builder floor situated in New chandigarh mohali. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ,1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Dhakoli,900.0,2750000.0,INR,,0.0,0.0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has a salable area of 900 sqft and is available at a price of Rs. 3,055 per sqft. It is northeast facing property. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Kindly call us for details. ",1.0,northeast,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Dhakoli,990.0,3555000.0,INR,1.0,1.0,0.0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has a salable area of 990 sqft and is available at a price of Rs. 3,590 per sqft. The house is semi-furnished. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sector 79,1800.0,10500000.0,INR,1.0,0.0,0.0,"Well designed 3 bhk builder floor is available at a prime location in Sector 79. It has a salable area of 1800 sqft and is available at a price of Rs. 5,833 per sqft. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1.0,,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Sunny Enclave,1080.0,3490000.0,INR,,1.0,0.0,"A spacious 3 bhk builder floor is available for sale in Sunny Enclave, Chandigarh. It has an area of 1080 sqft with a carpet area of 948 sqft . The property is available at a price of Rs. 34.90 lac . Its main door is facing east direction. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact us for more details. ",1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Dhakoli,1358.0,3800000.0,INR,,1.0,0.0,It’s a 3 bhk builder floor situated in Dhakoli. It has an area of 1358 sqft with a carpet area of 1050 sqft . The property is available at a price of Rs. 38.00 lac . The house is semi-furnished. It is east facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. ,1.0,east,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,Chandigarh,builderfloor
Dhakoli,900.0,3190000.0,INR,1.0,1.0,0.0,Well designed 3 bhk builder floor is available at a prime location in Dhakoli. It has an area of 900 sqft . The property is available at a price of Rs. 31.90 lac . It is a semi-furnished property. It is a ready-to-move-in property. Contact us for more details. ,1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
Dhakoli,1125.0,4200000.0,INR,,1.0,0.0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has an area of 1125 sqft with a carpet area of 925 sqft . The property is available at a price of Rs. 42.00 lac . The house is semi-furnished. Its main door is facing north direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1.0,north,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Chandigarh,builderfloor
New chandigarh mohali,1415.0,7950100.0,INR,0.0,1.0,0.0,"Well designed 3 bhk builder floor is available at a prime location in New chandigarh mohali. It has a built-up area of 1415 sqft and is priced at Rs. 79.50 lac . The house is semi-furnished. It has lift available. Other amenities include club house, gymnasium, power backup and swimming pool. It is facing west direction. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living for the residents. ",1.0,west,0.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,Chandigarh,builderfloor
